MFLCode,Latitude,Longitude,Method_Geocode,Source_Geocode,Date_Geocode,Province,District,Facility,Owner,Type,Division,Location,Sublocation,Nearest Town,Plot No,Constituency,Status,Off_Landline,Off_Mob,Off_Fax,Off_Email,Off_POBox,Off_Town,Off_PostCode,In Charge Name,ANC,ART,BEOC,Blood Tr,C Section,CEOC,FP,Growth,HCT,Inp,HBC,IMM,IMCI,Outp,PMTCT,Radiology,RHTC_RHDC,TB_Diag,TB_Labs,TB_Treat,Youth,Beds,Cots,CHWTrain,CHW
11150,-0.0690278,37.1512,Centroid calculation from sub-location,Sublocation Centroid Exercise of MOH/ICF Macro,2/28/10,Central,Nyeri North,Vision Medical clinic,Private Medical Enterprise,Medical Clinic - Nurse/ Midwife,Kieni East,Gathiuru,Kahurura,Gakawa,,KIENI,Operational,,,,,,,,Susan Muthee,,,,,,,Y,,,,,,,Y,,,,,,,,0,0,,
11157,-0.488456,37.0839,Centroid calculation from sub-location,Sublocation Centroid Exercise of MOH/ICF Macro,2/28/10,Central,Nyeri North,Wakagori MedicalClinic,Private Medical Enterprise,Medical Clinic - Nurse/ Midwife,Mathira,Mbogoini,,Kirimukuyu,,MATHIRA,Not-Operational,,,,,P.O. Private Bag,KARATINA,10101,E.Kimunyu,,,,,,,Y,,,,,,,Y,,,,,,,,0,0,,
11158,-0.486823,37.03,Centroid calculation from sub-location,Sublocation Centroid Exercise of MOH/ICF Macro,2/28/10,Central,Nyeri North,Wakamata Dispensary,Ministry of Health,Dispensary,Mathira,Mungaria,Mungaria,Karatina,,MATHIRA,Operational,,,,,,,,Simon Njogu,Y,,Y,,,,Y,Y,Y,,,Y,,Y,,,,,,,,0,0,,
11176,-0.26036,37.11397,"Calc from proximity to school, village, markets",KEMRI GIS MERGE,7/14/09,Central,Nyeri North,Warazo Rural Health Centre,Ministry of Health,Health Centre,Kieni East,Munyu,Munyu,Kabaru,,KIENI,Operational,,,,,P.O. Box 46,KIGANJO,,Ndegwa Eliud,Y,,Y,,,,Y,Y,,,,Y,,Y,,,,,Y,,,12,0,,
11178,-0.27412,36.75123,"Calc from proximity to school, village, markets",KEMRI GIS MERGE,7/14/09,Central,Nyeri North,Watuka Dispensary,Ministry of Health,Dispensary,Kieni West,Watuka,Watuka,Gatarakwa,,KIENI,Operational,,,,,P.O. Box 150,Endarasha,10107,Joseph Wanjohi,Y,,Y,,,,Y,Y,Y,,,Y,Y,Y,Y,,Y,Y,,Y,,0,0,,
11182,-0.29124,36.80123,"Calc from proximity to school, village, markets",KEMRI GIS MERGE,7/14/09,Central,Nyeri North,Wendiga Dispensary,Ministry of Health,Dispensary,Kieni West,Labura,,Mwiyogo,,KIENI,Operational,,,,,,,,Racheal Githinji,Y,,Y,,,,Y,Y,Y,,,Y,Y,Y,Y,,,Y,,Y,Y,0,0,,
10002,-0.558127,36.9264,Centroid calculation from sub-location,Sublocation Centroid Exercise of MOH/ICF Macro,2/28/10,Central,Nyeri South,Aberdare  Medical & Surgical Clinic,Private Medical Enterprise,Medical Clinic - Nurse/ Midwife,Othaya,Iriani,Gitundu,Othaya Town,,OTHAYA,Operational,,0721-348224,,,P.O. Box 731,Othaya,10100,Margaret W Chege,N,N,N,,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,,N,N,0,0,,
10008,-0.433513,36.977,Centroid calculation from sub-location,Sublocation Centroid Exercise of MOH/ICF Macro,2/28/10,Central,Nyeri South,Afya Bora Medical Clinic (Nyeri South),Private Medical Enterprise,Medical Clinic - Clinical officer,Municipality,Mukaro,Ruringu,Ruringu,,NYERI TOWN,Operational,,,,,P.O. Box 12063,Nyeri,10100,Esther Gachoiri,N,N,N,,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,,N,N,0,0,,
10009,-0.557562,37.0525,Centroid calculation from sub-location,Sublocation Centroid Exercise of MOH/ICF Macro,2/28/10,Central,Nyeri South,Afya Health Services,Private Medical Enterprise,Medical Clinic - Clinical officer,Mukurweini,Muhito,Gaturia,Mukurweini Town,,MUKURWEINI,Operational,,,,,P.O. Box 469,Mukurweini,10100,Christopher C. Njuguna,N,N,N,,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,,N,N,0,0,,
10014,-0.623166,37.1345,Centroid calculation from sub-location,Sublocation Centroid Exercise of MOH/ICF Macro,2/28/10,Central,Nyeri South,Afya Medical Clinic (Nyeri South),Private Medical Enterprise,Medical Clinic - Nurse/ Midwife,Mukurweini,Rutune,Ngamwa,Ngamwa,,MUKURWEINI,Operational,,,,,,,,Kanumbi Gatuma,N,N,N,,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,,N,N,0,0,,
10017,-0.50135,37.02072,"Calc from proximity to school, village, markets",KEMRI GIS MERGE,7/14/09,Central,Nyeri South,Aguthi Dispensary,Ministry of Health,Dispensary,Tetu,Aguthi,Gititu,Gititu,,TETU,Operational,,0721-327877,,,P.O. Box 27,Nyeri,10100,Penina Wachira,Y,Y,Y,,N,N,Y,Y,Y,N,N,Y,N,Y,Y,N,N,Y,Y,Y,N,0,0,,
10022,-0.501557,36.9684,Centroid calculation from sub-location,Sublocation Centroid Exercise of MOH/ICF Macro,2/28/10,Central,Nyeri South,Alpha Family Health Care,Private Medical Enterprise,Medical Clinic - Nurse/ Midwife,Tetu,Karundu,Unjiru,Giakanja,11.C Kiandu Mkt,TETU,Operational,,,,,P.O. Box 12316  ,Nyeri,10100,Gladwin W. Wamuya,N,N,N,,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,,N,N,0,0,,
10031,-0.00133164,37.094,Centroid calculation from sub-location,Sublocation Centroid Exercise of MOH/ICF Macro,2/28/10,Central,Nyeri South,Annex Laboratory,Private Medical Enterprise,Laboratory (Stand-alone),Municipality,Mukaro,Majengo,Nyeri Town,,NYERI TOWN,Operational,,,,,P.O. Box 12157,Nyeri,10100,,N,N,N,,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,,N,N,0,0,,
10034,-0.00133164,37.094,Centroid calculation from sub-location,Sublocation Centroid Exercise of MOH/ICF Macro,2/28/10,Central,Nyeri South,Antony Njogu Clinic,Private Medical Enterprise,Medical Clinic - Other,Municipality,Mukaro,Majengo,Nyeri Town,,NYERI TOWN,Not-Operational,,0722-481085,,,,,,,N,N,N,,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,,N,N,0,0,,
10042,-0.558127,36.9264,Centroid calculation from sub-location,Sublocation Centroid Exercise of MOH/ICF Macro,2/28/10,Central,Nyeri South,Atlas Medical Clinic,Private Medical Enterprise,Medical Clinic - Nurse/ Midwife,Othaya,Iriaini,Kihugiru,Othaya Town,66/ Othaya Town,OTHAYA,Operational,,0722-557310,,,P.O. Box 516  ,Othaya,,James K. Wamondo,N,N,N,,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,,N,N,0,0,,
10051,-0.00133164,37.094,Centroid calculation from sub-location,Sublocation Centroid Exercise of MOH/ICF Macro,2/28/10,Central,Nyeri South,Batian Eye Clinic,Private Medical Enterprise,Eye Centre,Municipality,Mukaro,Majengo,Nyeri Town,,NYERI TOWN,Operational,,0728-674216,,,P.O. Box 2588,Nyeri ,10100,,N,N,N,,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,,N,N,0,0,,
10052,-0.00133164,37.094,Centroid calculation from sub-location,Sublocation Centroid Exercise of MOH/ICF Macro,2/28/10,Central,Nyeri South,Batian Laboratory Services,Private Medical Enterprise,Laboratory (Stand-alone),Municipality,Mukaro,Majengo,Nyeri Town,111/257 Nyeri town,NYERI TOWN,Operational,,0735-566109,,,P.O. Box 1598,Nyeri,10100,Dr P M Macharia,N,N,N,,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,,N,N,0,0,,
10053,-0.00133164,37.094,Centroid calculation from sub-location,Sublocation Centroid Exercise of MOH/ICF Macro,2/28/10,Central,Nyeri South,Batian Medical Services Medical Clinic,Private Medical Enterprise,Medical Clinic - Medical specialist,Municipality,Mukaro,Majengo,Nyeri Town,111/257 Nyeri town,NYERI TOWN,Operational,,0722-463481,,,P.O. Box 1598,Nyeri,10100,Dr P M Macharia,N,N,N,,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,,N,N,0,0,,
10086,-0.433434,36.9447,Centroid calculation from sub-location,Sublocation Centroid Exercise of MOH/ICF Macro,2/28/10,Central,Nyeri South,Chalo Medical Clinic,Private Medical Enterprise,Medical Clinic - Clinical officer,Municipality,Mukaro,Kamakwa,Nyeri Town,,NYERI TOWN,Operational,,,,,P.O. Box 12353,Nyeri,10100,Charles G Biringi,N,N,N,,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,,N,N,0,0,,
10087,-0.00133164,37.094,Centroid calculation from sub-location,Sublocation Centroid Exercise of MOH/ICF Macro,2/28/10,Central,Nyeri South,Chania Clinic,Private Medical Enterprise,Medical Clinic - Nurse/ Midwife,Municipality,Mukaro,Majengo,Nyeri Town,,NYERI TOWN,Operational,,,,,,,,,N,N,N,,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,,N,N,0,0,,
10100,-0.41129,36.91898,Taken with GPS Device,KEMRI GIS MERGE,7/14/09,Central,Nyeri South,Consolata Mission Hospital (Mathari),Kenya Episcopal Conference-Catholic Secretariat,Primary Hospital,Municipality,Mukaro,Mathari,Mathari,,NYERI TOWN,Operational,,0722-359490,,,P.O. Box 25,Nyeri,10100,Dr Maina Karabu,Y,Y,Y,,Y,Y,N,Y,Y,Y,N,Y,N,Y,Y,Y,N,Y,Y,Y,N,170,17,,
10104,-0.412539,36.8893,Centroid calculation from sub-location,Sublocation Centroid Exercise of MOH/ICF Macro,2/28/10,Central,Nyeri South,Dawa Medical Clinic (Nyeri South),Private Medical Enterprise,Medical Clinic - Nurse/ Midwife,Tetu,Muhoyas,Ihururu,Ihururu,46 Ihururu Mkt,TETU,Operational,,,,,P.O. Box 675,Nyeri,10100,Diana Kimotho,N,N,N,,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,,N,N,0,0,,
10106,-0.501557,36.9684,Centroid calculation from sub-location,Sublocation Centroid Exercise of MOH/ICF Macro,2/28/10,Central,Nyeri South,Delina Health Care,Private Medical Enterprise,Medical Clinic - Nurse/ Midwife,Tetu,Karundu,Kiandu,Kiandu,50 Kiandu Mkt,TETU,Operational,,,,,P.O. Box 1683,Nyeri,10100,Dina W. Ngatunyi,N,N,N,,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,,N,N,0,0,,
10108,-0.00133164,37.094,Centroid calculation from sub-location,Sublocation Centroid Exercise of MOH/ICF Macro,2/28/10,Central,Nyeri South,Diana Medical Clinic,Private Medical Enterprise,Medical Clinic - Nurse/ Midwife,Municipality,Mukaro,Majengo,Nyeri Town,B/111/96 Nyeri town,NYERI TOWN,Operational,,0722-601066,,,P.O. Box 1777,Nyeri,10100,Agnes G. Marua,N,N,N,,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,,N,N,0,0,,
10115,-0.00133164,37.094,Centroid calculation from sub-location,Sublocation Centroid Exercise of MOH/ICF Macro,2/28/10,Central,Nyeri South,Dr  U N Kanani Dental Clinic,Private Medical Enterprise,Dental Clinic,Municipality,Mukaro,Majengo,Nyeri Town,,NYERI TOWN,Operational,,,,,P.O. Box 167,Nyeri,10100,Dr Mrs Kanani Osha,N,N,N,,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,,N,N,0,0,,
10116,-0.00133164,37.094,Centroid calculation from sub-location,Sublocation Centroid Exercise of MOH/ICF Macro,2/28/10,Central,Nyeri South,Dr A P Gupta Radiological Clinic,Private Medical Enterprise,Radiology Unit,Municipality,Mukaro,Majengo,Nyeri Town,,NYERI TOWN,Operational,,,,,P.O. Box 50,Nyeri,10100,Dra P Gupta,N,N,N,,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,,N,N,0,0,,
10117,-0.00133164,37.094,Centroid calculation from sub-location,Sublocation Centroid Exercise of MOH/ICF Macro,2/28/10,Central,Nyeri South,Dr Ajay Chyaniyara Medical Clinic,Private Medical Enterprise,Medical Clinic - Medical specialist,Municipality,Mukaro,Majengo,Nyeri Town,,NYERI TOWN,Operational,,,,,P.O. Box 547,Nyeri,10100,Dr Ajay Chyaniyara,N,N,N,,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,,N,N,0,0,,
10119,-0.00133164,37.094,Centroid calculation from sub-location,Sublocation Centroid Exercise of MOH/ICF Macro,2/28/10,Central,Nyeri South,Dr E K Ritho Paediatric Clinic,Private Medical Enterprise,Medical Clinic - Medical specialist,Municipality,Mukaro,Majengo,Nyeri Town,,NYERI TOWN,Operational,,,,,P.O. Box 967,Nyeri,10100,Dr E K Ritho,N,N,N,,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,,N,N,0,0,,
10120,-0.00133164,37.094,Centroid calculation from sub-location,Sublocation Centroid Exercise of MOH/ICF Macro,2/28/10,Central,Nyeri South,Dr E Kanyi Dental Clinic,Private Medical Enterprise,Dental Clinic,Municipality,Mukaro,Majengo,Nyeri Town,,NYERI TOWN,Operational,061-2032300,,,,P.O. Box 727,Nyeri,10100,Dr E K Kanyi,N,N,N,,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,,N,N,0,0,,
10122,-0.00133164,37.094,Centroid calculation from sub-location,Sublocation Centroid Exercise of MOH/ICF Macro,2/28/10,Central,Nyeri South,Dr Irungu Mwangi Dermatology Clinic,Private Medical Enterprise,Medical Clinic - Medical specialist,Municipality,Mukaro,Majengo,Nyeri Town,,NYERI TOWN,Operational,,,,,P.O. Box 12475,Nyeri,10100,Dr Irungu Mwangi ,N,N,N,,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,,N,N,0,0,,
10125,-0.00133164,37.094,Centroid calculation from sub-location,Sublocation Centroid Exercise of MOH/ICF Macro,2/28/10,Central,Nyeri South,Dr Kanina B K Urology Clinic,Private Medical Enterprise,Medical Clinic - Medical specialist,Municipality,Mukaro,Majengo,Nyeri Town,,NYERI TOWN,Operational,,,,,P.O. Box 1726,Nyeri,10100,Dr Kanina B K ,N,N,N,,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,,N,N,0,0,,
10127,-0.00133164,37.094,Centroid calculation from sub-location,Sublocation Centroid Exercise of MOH/ICF Macro,2/28/10,Central,Nyeri South,Dr Kariuki N.M. Psychiatric Clinic,Private Medical Enterprise,Medical Clinic - Medical specialist,Municipality,Mukaro,Majengo,Nyeri Town,,NYERI TOWN,Operational,,,,,P.O. Box 770,Nyeri,10100,Dr M M Kariuki,N,N,N,,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,,N,N,0,0,,
10129,-0.00133164,37.094,Centroid calculation from sub-location,Sublocation Centroid Exercise of MOH/ICF Macro,2/28/10,Central,Nyeri South,Dr L G Mburu Radiological Clinic,Private Medical Enterprise,Radiology Unit,Municipality,Mukaro,Majengo,Nyeri Town,,NYERI TOWN,Operational,,,,,P.O. Box 2322,Nyeri,10100,Dr L G Mburu ,N,N,N,,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,,N,N,0,0,,
10130,-0.00133164,37.094,Centroid calculation from sub-location,Sublocation Centroid Exercise of MOH/ICF Macro,2/28/10,Central,Nyeri South,Dr L L M Muturi Medical Clinic,Private Medical Enterprise,Medical Clinic - Medical specialist,Municipality,Mukaro,Majengo,Nyeri Town,,NYERI TOWN,Operational,,,,,P.O. Box 531,Nyeri,10100,Dr L L M Muturi ,N,N,N,,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,Y,N,0,0,,
10131,-0.00133164,37.094,Centroid calculation from sub-location,Sublocation Centroid Exercise of MOH/ICF Macro,2/28/10,Central,Nyeri South,Dr M H Shah Medical Clinic,Private Medical Enterprise,Medical Clinic - Medical specialist,Municipality,Mukaro,Majengo,Nyeri Town,,NYERI TOWN,Operational,,,,,P.O. Box 800,Nyeri,10100,Dr M H Shah ,N,N,N,,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,,N,N,0,0,,
10132,-0.00133164,37.094,Centroid calculation from sub-location,Sublocation Centroid Exercise of MOH/ICF Macro,2/28/10,Central,Nyeri South,Dr M M Gichangi Opthamological Clinic,Private Medical Enterprise,Medical Clinic - Medical specialist,Municipality,Mukaro,Majengo,Nyeri Town,,NYERI TOWN,Operational,,,,,P.O. Box 2031,Nyeri,10100,Dr M M Gichangi ,N,N,N,,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,,N,N,0,0,,
10133,-0.00133164,37.094,Centroid calculation from sub-location,Sublocation Centroid Exercise of MOH/ICF Macro,2/28/10,Central,Nyeri South,Dr M M Mburu Gynae / Obstretric Clinic,Private Medical Enterprise,Medical Clinic - Medical specialist,Municipality,Mukaro,Majengo,Nyeri Town,,NYERI TOWN,Operational,,,,,P.O. Box 2480,Nyeri,10100,Dr M M Mburu ,N,N,Y,,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,,N,N,0,0,,
10136,-0.00133164,37.094,Centroid calculation from sub-location,Sublocation Centroid Exercise of MOH/ICF Macro,2/28/10,Central,Nyeri South,Dr Mate Gynae/Obstetic Clinic,Private Medical Enterprise,Medical Clinic - Medical specialist,Municipality,Mukaro,Majengo,Nyeri Town,,NYERI TOWN,Operational,,,,,P.O. Box 846,Nyeri,10100,Dr Mate,N,N,Y,,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,,N,N,0,0,,
10141,-0.00133164,37.094,Centroid calculation from sub-location,Sublocation Centroid Exercise of MOH/ICF Macro,2/28/10,Central,Nyeri South,Dr Mukui F K Psychiatric Clinic,Private Medical Enterprise,Medical Clinic - Medical specialist,Municipality,Mukaro,Majengo,Nyeri Town,,NYERI TOWN,Operational,,,,,P.O. Box 1481,Nyeri,10100,Dr Francis Kamuguna Mukui,N,N,N,,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,,N,N,0,0,,
10144,-0.00133164,37.094,Centroid calculation from sub-location,Sublocation Centroid Exercise of MOH/ICF Macro,2/28/10,Central,Nyeri South,Dr Mwangi Medical Clinic,Private Medical Enterprise,Medical Clinic - Medical specialist,Municipality,Mukaro,Majengo,Nyeri Town,,NYERI TOWN,Operational,,,,,P.O. Box 1562,Nyeri,10100,Dr Mwangi ,N,N,N,,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,,N,N,0,0,,
10145,-0.00133164,37.094,Centroid calculation from sub-location,Sublocation Centroid Exercise of MOH/ICF Macro,2/28/10,Central,Nyeri South,Dr N N Ngugi Dental Clinic,Private Medical Enterprise,Dental Clinic,Municipality,Mukaro,Majengo,Nyeri Town,,NYERI TOWN,Operational,,,,,P.O. Box 12168,Nyeri,10100,Dr Njaramba Ngugi,N,N,N,,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,,N,N,0,0,,
10147,-0.00133164,37.094,Centroid calculation from sub-location,Sublocation Centroid Exercise of MOH/ICF Macro,2/28/10,Central,Nyeri South,Dr Ndungu Wamburu Clinic,Private Medical Enterprise,Medical Clinic - Medical specialist,Municipality,Mukaro,Majengo,Nyeri Town,,NYERI TOWN,Operational,061-2031266,,,,P.O. Box 103 ,Nyeri,10100,Dr N Wamburu,N,N,N,,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,,N,N,0,0,,
10149,-0.00133164,37.094,Centroid calculation from sub-location,Sublocation Centroid Exercise of MOH/ICF Macro,2/28/10,Central,Nyeri South,Dr Njue M G Pathological Clinic,Private Medical Enterprise,Laboratory (Stand-alone),Municipality,Mukaro,Majengo,Nyeri Town,,NYERI TOWN,Operational,,,,,,Nyeri,10100,Dr Njue M G ,N,N,N,,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,,N,N,0,0,,
10150,-0.00133164,37.094,Centroid calculation from sub-location,Sublocation Centroid Exercise of MOH/ICF Macro,2/28/10,Central,Nyeri South,Dr Njuguna Thuo Gynae/ Obstetic Clinic,Private Medical Enterprise,Medical Clinic - Medical specialist,Municipality,Mukaro,Majengo,Nyeri Town,,NYERI TOWN,Operational,,0726-102909,,,P.O. Box 1047,Nyeri,10100,Dr S N Thuo,Y,N,Y,,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,,N,N,0,0,,
10151,-0.00133164,37.094,Centroid calculation from sub-location,Sublocation Centroid Exercise of MOH/ICF Macro,2/28/10,Central,Nyeri South,Dr P M Mbugua,Private Medical Enterprise,Medical Clinic - Medical specialist,Municipality,Mukaro,Majengo,Nyeri Town,,NYERI TOWN,Operational,,,,,P.O. Box 391,Nyeri,10100,Dr P Muchai Mbugua,N,N,N,,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,,N,N,0,0,,
16781,,,No Geo Code,,,Central,Nyeri South,Dr P.K. Kapombe Dental Clinic,Private Medical Enterprise,Dental Clinic,Municipality,Mukaro,Majengo,Nyeri Town,1/88 Nyeri town,NYERI TOWN,Operational,,,,,P.O. Box 727,Nyeri,10100,Dr. P.K. Kapombe,N,N,N,,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,0,0,,
10153,-0.00133164,37.094,Centroid calculation from sub-location,Sublocation Centroid Exercise of MOH/ICF Macro,2/28/10,Central,Nyeri South,Dr V M Muyembe Orthopaedic Clinic,Private Medical Enterprise,Medical Clinic - Medical specialist,Municipality,Mukaro,Majengo,Nyeri Town,,NYERI TOWN,Operational,,,,,P.O. Box 12485,Nyeri,10100,Dr V M Muyembe,N,N,N,,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,,N,N,0,0,,
10160,-0.58877,36.8511,Centroid calculation from sub-location,Sublocation Centroid Exercise of MOH/ICF Macro,2/28/10,Central,Nyeri South,Ebenezer Medical Clinic (Nyeri South),Private Medical Enterprise,Medical Clinic - Nurse/ Midwife,Othaya,Chinga,Gathera,Othaya Town,,OTHAYA,Operational,,,,,P.O. Box 616 ,Othaya,,Joyceline N. Macharia,Y,N,Y,,N,N,Y,Y,N,N,N,Y,N,Y,Y,N,N,N,,N,N,4,0,,
10173,-0.558127,36.9264,Centroid calculation from sub-location,Sublocation Centroid Exercise of MOH/ICF Macro,2/28/10,Central,Nyeri South,Eunice Medical Clinic,Private Medical Enterprise,Medical Clinic - Nurse/ Midwife,Othaya,Iriaini,Gitundu,Othaya Town,,OTHAYA,Operational,,,,,P.O. Box 921,Othaya,,"Eunice W, Macharia",Y,N,Y,,N,N,Y,Y,N,N,N,N,N,Y,N,N,N,N,,N,N,0,0,,
10174,-0.00133164,37.094,Centroid calculation from sub-location,Sublocation Centroid Exercise of MOH/ICF Macro,2/28/10,Central,Nyeri South,Eye Sight Clinic,Private Medical Enterprise,Eye Centre,Municipality,Mukaro,Majengo,Nyeri Town,,NYERI TOWN,Operational,,,,,P.O. Box 1924,Nyeri,10100,Nyaguthii,N,N,N,,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,,N,N,0,0,,
16774,,,No Geo Code,,,Central,Nyeri South,Faith Medical Clinic (Nyeri South),Private Medical Enterprise,Medical Clinic - Nurse/ Midwife,Tetu,Tetu,Kigwandi,Kigwandi,Plot 6 Kigwandi,TETU,Operational,,,,,P.O. Box 65,Nyeri,10100,Jacob K. Murebu,N,N,N,,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,0,0,,
10181,-0.00133164,37.094,Centroid calculation from sub-location,Sublocation Centroid Exercise of MOH/ICF Macro,2/28/10,Central,Nyeri South,Family Health Clinic (Nyeri South),Private Medical Enterprise,Medical Clinic - Other,Municipality,Mukaro,Majengo,Nyeri Town,,NYERI TOWN,Not-Operational,,,,,,Nyeri,10100,,N,N,N,,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,,N,N,0,0,,
10182,-0.00133164,37.094,Centroid calculation from sub-location,Sublocation Centroid Exercise of MOH/ICF Macro,2/28/10,Central,Nyeri South,Family Planning Association Of Kenya Clinic (Nyeri),Non-Governmental Organizations,Medical Clinic - Other,Municipality,Mukaro,Majengo,Nyeri Town,,NYERI TOWN,Operational,,,,,,Nyeri,10100,Ms Gachamba,N,N,N,,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,,N,N,0,0,,
10183,-0.00133164,37.094,Centroid calculation from sub-location,Sublocation Centroid Exercise of MOH/ICF Macro,2/28/10,Central,Nyeri South,Family Smiles,Private Medical Enterprise,Dental Clinic,Municipality,Mukaro,Majengo,Nyeri Town,,NYERI TOWN,Operational,,,,,P.O. Box 2339,Nyeri,10100,Dr Kapombe Patrick K,N,N,N,,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,,N,N,0,0,,
10192,-0.433513,36.977,Centroid calculation from sub-location,Sublocation Centroid Exercise of MOH/ICF Macro,2/28/10,Central,Nyeri South,Gachatha Medical Clinic (Nyeri South),Private Medical Enterprise,Medical Clinic - Nurse/ Midwife,Municipality,Mukaro,Ruringu,Nyeri Town,,NYERI TOWN,Operational,,,,,,,,,N,N,N,,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,,N,N,0,0,,
10196,-0.43184,37.0285,Centroid calculation from sub-location,Sublocation Centroid Exercise of MOH/ICF Macro,2/28/10,Central,Nyeri South,Gachika Orthodox Medical Clinic,Other Faith Based,Medical Clinic - Nurse/ Midwife,Municipality,Kiganjo,Gachika,Gachika,,NYERI TOWN,Operational,020-2045906,0720-519777,,,P.O. Box 131,Kiganjo,10100,,N,N,N,,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,,N,N,0,0,,
10206,-0.556082,36.9501,Centroid calculation from sub-location,Sublocation Centroid Exercise of MOH/ICF Macro,2/28/10,Central,Nyeri South,Gatamu Medical Clinic,Private Medical Enterprise,Medical Clinic - Nurse/ Midwife,Othaya,Karima,Kianganda,Othaya Town,,OTHAYA,Operational,,,,,P.O. Box 851,Othaya,10100,Peter G. Gatamu,N,N,N,,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,,N,N,0,0,,
10222,-0.45744,36.9919,"Calc from proximity to school, village, markets",KEMRI GIS MERGE,7/14/09,Central,Nyeri South,Gatitu Dispensary,Ministry of Health,Dispensary,Municipality,Mukaro,Gatitu,Gatitu,,NYERI TOWN,Operational,,,,,P.O. Private Bag,Gatitu,10100,Paul Kanyiri,Y,N,Y,,N,N,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N,0,0,,
10228,-0.529353,36.9652,Centroid calculation from sub-location,Sublocation Centroid Exercise of MOH/ICF Macro,2/28/10,Central,Nyeri South,Gatugi Mission Dispensary,Other Faith Based,Medical Clinic - Nurse/ Midwife,Othaya,Karima,Mumwe,Othaya Town,,OTHAYA,Operational,061-2030819,,30819,,,,,,N,N,N,,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,,N,N,0,0,,
10235,-0.528342,37.0397,Centroid calculation from sub-location,Sublocation Centroid Exercise of MOH/ICF Macro,2/28/10,Central,Nyeri South,Gatura (PCEA) Dispensary,Christian Health Association of Kenya,Dispensary,Mukurweini,Muhito,Gatura,Gatura,,MUKURWEINI,Not-Operational,,,,,,,,,N,N,N,,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,,N,N,0,0,,
10249,-0.57562,36.92429,Taken with GPS Device,KEMRI GIS MERGE,7/14/09,Central,Nyeri South,Gichiche Health Centre,Ministry of Health,Health Centre,Othaya,Chinga,Gichiche,Gichiche,,OTHAYA,Operational,,,,,P.O. Box 942,Othaya,10100,Joseph Thiongo,Y,Y,Y,,N,N,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,N,15,0,,
